player_id,player_name,scraped_dob,status,success
52b58405,Abby Dahlkemper,"May 13, 1993",success,True
947d22fb,Abby Smith,"October 4, 1993",success,True
15c7bfb7,Adriana Leon,"October 2, 1992",success,True
220b9b36,Ainsley Mccammon,"August 16, 2007",success,True
abf96cef,Aisha Solórzano,"April 13, 1998",success,True
7ca7c385,Alana Cook,"April 11, 1997",success,True
8252bc62,Alanna Kennedy,"January 21, 1995",success,True
ea429c45,Alex Loera,"June 19, 1999",success,True
0567dc96,Alexa Spaanstra,"February 1, 2000",success,True
51e267dc,Aline,"July 7, 2005",success,True
7bbb977b,Ally Lemos,"March 4, 2004",success,True
758fe55e,Ally Schlegel,"February 7, 2000",success,True
e91c05ee,Ally Sentnor,"February 18, 2004",success,True
56d5fb23,Ally Watt,"March 12, 1997",success,True
50bf36a3,Alyssa Malonson,"April 9, 1999",success,True
4c1ee572,Alyssa Naeher,,HTTP 403,False
2fcc0a10,Alyssa Thompson,"November 7, 2004",success,True
36355319,Amanda McGlynn,"November 3, 1998",success,True
8d5a8340,Ana María Guzmán,"June 11, 2005",success,True
93504985,Ana Tejada,"June 2, 2002",success,True
d3c316a3,Ana-Maria Crnogorčević,"October 3, 1990",success,True
49d6d4a8,Angelina,,HTTP 429,False
06115ef0,Angelina Anderson,,HTTP 429,False
6444e5a0,Angharad James,,HTTP 429,False
be9f3298,Ann-Katrin Berger,,HTTP 429,False
271c5edc,Anna Moorhouse,,HTTP 429,False
6ddcbd4c,Aria Nagai,,HTTP 429,False
2b0527c9,Arin Wright,,HTTP 429,False
fa566209,Ary Borges,,HTTP 429,False
d2de2f84,Ashley Hatch,,HTTP 429,False
9ced946b,Ashley Sanchez,,HTTP 429,False
23a1662b,Asisat Oshoala,,HTTP 429,False
020eaa4d,Aubrey Kingsbury,,HTTP 429,False
662d7873,Ava Cook,,HTTP 429,False
883f60f8,Avery Patterson,,HTTP 429,False
7824185a,Barbra Banda,,HTTP 429,False
28814cc8,Bayley Feist,,HTTP 429,False
fb6605c0,Bea Franklin,,HTTP 429,False
d6ed0c7f,Beatriz,,HTTP 429,False
73eb19a8,Bella Bixby,,HTTP 429,False
271e0873,Bianca St-Georges,,HTTP 429,False
5b88fd9c,Brecken Mozingo,,HTTP 429,False
9be20864,Brianna Martinez,,HTTP 429,False
57045f36,Brianna Pinto,,HTTP 429,False
34603a7a,Brittany Ratcliffe,,HTTP 429,False
ee98152f,Brooklyn Courtnall,,HTTP 429,False
f790716d,Bruninha,,HTTP 429,False
b4ce93ce,Bárbara Olivieri,,HTTP 429,False
4a296e8e,Caiya Hanks,,HTTP 429,False
76828205,Camryn Biegalski,,HTTP 429,False
c4f44958,Caprice Dydasco,,HTTP 429,False
56f16bc7,Cari Roccaro,,HTTP 429,False
b035ac13,Caroline Conti,,HTTP 429,False
61531e4e,Carson Pickett,,HTTP 429,False
ed06502e,Casey Krueger,,HTTP 429,False
493c384e,Casey Murphy,,HTTP 429,False
124d6db5,Casey Phair,,HTTP 429,False
703f4922,Catherine Barry,,HTTP 429,False
8e2a7ac1,Cecelia Kizer,,HTTP 429,False
939ba0d8,Chardonnay Curran,,HTTP 429,False
80442566,Chiamaka Okwuchukwu,,HTTP 429,False
32b99c02,Chloe Ricketts,,HTTP 429,False
fe95f6e7,Christen Press,,HTTP 429,False
274666f1,Christen Westphal,,HTTP 403,False
f2284088,Claire Emslie,,HTTP 429,False
7db28545,Claire Hutton,,HTTP 429,False
5689807c,Claudia Dickey,,HTTP 429,False
82f12690,Claudia Zornoza,,HTTP 429,False
ace997a7,Cori Dyke,,HTTP 429,False
55d492ba,Cortnee Vine,,HTTP 429,False
9982f5c6,Courtney Brown,,HTTP 429,False
05d6a62d,Courtney Petersen,,HTTP 429,False
aa0f9aa7,Croix Bethune,,HTTP 429,False
006f18aa,Daiane,,HTTP 429,False
2e6a5e3e,Dana Foederer,,HTTP 403,False
442d8200,Dani Weatherholt,,HTTP 429,False
24478b0c,Danielle Colaprico,"May 6, 1993",success,True
85cea0cf,Debinha,,HTTP 429,False
ef032510,Delanie Sheehan,,HTTP 429,False
9d82fe8e,Delphine Cascarino,,HTTP 429,False
2f3ffc2d,Denise O'Sullivan,,HTTP 429,False
1b470ecd,Deyna Castellanos,,HTTP 429,False
0a85fee3,Diana Ordoñez,,HTTP 429,False
1b15d6a3,Dorian Bailey,,HTTP 429,False
eea3655d,Elizabeth Ball,,HTTP 429,False
14de6d32,Ella Hase,,HTTP 429,False
268a4e22,Ella Stevens,,HTTP 429,False
350886ec,Elli Pikkujämsä,,HTTP 429,False
feb132ed,Ellie Jean,,HTTP 429,False
a69d6298,Ellie Wheeler,,HTTP 429,False
e64b3c35,Emeri Adames,,HTTP 429,False
ce4f4c97,Emily Mason,,HTTP 429,False
acbf23b6,Emily Menges,,HTTP 429,False
714e5fef,Emily Sams,,HTTP 429,False
08acd418,Emily Sonnett,,HTTP 429,False
7ec2ba7c,Emma Sears,,HTTP 429,False
f3e2324d,Emmie Allen,,HTTP 429,False
ecacba26,Esme Morgan,,HTTP 429,False
8f146dff,Esther González,,HTTP 429,False
0b96a829,Evelina Duljan,,HTTP 429,False
55930662,Favour Emmanuel,,HTTP 429,False
01079eae,Felicitas Rauch,,HTTP 429,False
8dd703ab,Gabi Portilho,,HTTP 429,False
77ce913d,Gabrielle Carle,,HTTP 429,False
5b5de127,Geyse,,HTTP 429,False
0ae418c9,Gia Corley,,HTTP 429,False
5307f686,Gift Monday,,HTTP 429,False
